dataset,A_mode,core,seeds,row_shared_relative_fro_error_lambda_percent_mean,row_shared_relative_fro_error_lambda_percent_sample_std,row_shared_relative_fro_error_A_log_percent_mean,row_shared_relative_fro_error_A_log_percent_sample_std,best_rank1_energy_ratio_lambda_percent_mean,best_rank1_energy_ratio_lambda_percent_sample_std
UP,shared,block0_spa,10,9.499442665591263e-14,1.4321466121323075e-14,0.0,0.0,100.0,0.0
UP,shared,block0_spe,10,2.1984895707553858e-14,4.850846293567133e-15,0.0,0.0,100.0,0.0
UP,shared,block1_spa,10,9.184394273330623e-14,1.0897666824093371e-14,0.0,0.0,100.0,0.0
UP,shared,block1_spe,10,2.4912635668716793e-14,4.583493645231499e-15,0.0,0.0,100.0,0.0
UP,shared,block2_spa,10,8.987076002736841e-14,1.4728510483861358e-14,0.0,0.0,100.0,0.0
UP,shared,block2_spe,10,2.257137810994146e-14,4.3075637767613e-15,0.0,0.0,100.0,0.0
UP,per_channel,block0_spa,10,6.996769855579548,1.0614907631712753,3.5388224981840386,0.43924952395449196,99.67746782517362,0.12131974126404912
UP,per_channel,block0_spe,10,3.710631509492233,0.8420879187322237,1.6701471750577745,0.3609147467144596,99.88119692632212,0.04857221220124083
UP,per_channel,block1_spa,10,6.517377674446896,1.1345868661909553,3.1882555170384057,0.4952885298562961,99.67186571663423,0.1321967440287521
UP,per_channel,block1_spe,10,3.956554162534284,0.9446622860090006,1.8469578310050054,0.39371060460213436,99.88000805630195,0.03343196820631296
UP,per_channel,block2_spa,10,6.086244833924674,0.7292435862395649,2.8636463266593255,0.32324851747115074,99.71599311745238,0.07497681068984641
UP,per_channel,block2_spe,10,3.8999994885201117,0.9378364598351451,1.794470341848882,0.4548776789904795,99.85786112874186,0.0592859215404709
HanChuan,shared,block0_spa,10,8.953770141948622e-14,1.743875873392735e-14,0.0,0.0,100.0,0.0
HanChuan,shared,block0_spe,10,2.246562178570569e-14,3.5772434220224515e-15,0.0,0.0,100.0,0.0
HanChuan,shared,block1_spa,10,9.393676140434478e-14,9.999004476254772e-15,0.0,0.0,100.0,0.0
