dataset,contrast,n,mean_pp,sd_pp,ci95_low,ci95_high,p_signflip,p_holm_8
UP,A_cost_per_channel_minus_shared,10,-0.20255249073692916,1.1033087612255839,-0.991812032517091,0.5867070510432327,0.564453125,1
UP,QAT_loss_FP32_minus_QAT8,10,-1.216961712638947,2.309072716272042,-2.868772826653407,0.4348494013755133,0.12109375,0.84765625
HanChuan,A_cost_per_channel_minus_shared,10,0.3435764724241541,0.8340480119346507,-0.2530655328391438,0.940218477687452,0.19921875,0.99609375
HanChuan,QAT_loss_FP32_minus_QAT8,10,-0.5279789848758725,1.031743540801557,-1.2660438519971289,0.21008588224538394,0.150390625,0.90234375
HongHu,A_cost_per_channel_minus_shared,10,0.1822096645163474,1.7785050123428918,-1.090056178398018,1.4544755074307127,0.865234375,1
HongHu,QAT_loss_FP32_minus_QAT8,10,-0.16433762829569076,1.5441881933404018,-1.2689833165474051,0.9403080599560236,0.732421875,1
Houston,A_cost_per_channel_minus_shared,10,0.3515125692373211,1.6602764402411865,-0.8361776481389491,1.5392027866135913,0.5703125,1
Houston,QAT_loss_FP32_minus_QAT8,10,1.4188325521942886,2.4366174351136265,-0.32421855726584003,3.161883661654417,0.095703125,0.765625
