dataset,seed,OA_shared_percent,OA_per_channel_percent,OA_cost_shared_pp,mAcc_shared_percent,mAcc_per_channel_percent,mAcc_cost_shared_pp,Kappa_shared_percent,Kappa_per_channel_percent,Kappa_cost_shared_pp
UP,0,97.32400164676822,96.22066694112804,-1.1033347056401799,96.11565655522489,94.80392890501003,-1.3117276502148667,96.4992201588014,95.07191542233207,-1.427304736469348
UP,1,94.99382461918485,96.60765747221079,1.6138328530259316,95.06637317173336,95.138413130181,0.07203995844764499,93.4996386233033,95.5595576436461,2.059919020342804
UP,2,96.62412515438452,97.13462330177028,0.5104981473857517,95.75583774312645,95.02720437910993,-0.7286333640165177,95.59404855498383,96.24849767619459,0.6544491212107539
UP,3,97.73569370111157,97.85096747632771,0.11527377521614035,97.29186059718758,96.79302705669551,-0.49883354049207185,97.04120561528258,97.18794159848001,0.14673598319743242
UP,4,96.89584191025114,95.33964594483326,-1.5561959654178725,96.10991141245945,95.2268909786532,-0.8830204338062586,95.94431145495544,93.95240120174788,-1.9919102532075739
UP,5,96.52531906134212,96.8793742280774,0.3540551667352787,94.2767643044917,93.80434645172235,-0.4724178527693468,95.45414833721571,95.90813887313274,0.453990535917026
UP,6,96.70646356525319,97.35693701111569,0.6504734458624983,94.75929517042422,95.37830209006815,0.6190069196439163,95.68682679749828,96.53639815277056,0.8495713552722717
UP,7,92.383696994648,92.60601070399342,0.22231370934541195,94.2177220826588,95.20621131278789,0.988489230129086,90.20353153264898,90.51513620227401,0.31160466962502076
UP,8,96.64882667764512,94.88678468505557,-1.7620419925895359,94.22364277814407,93.88010455776484,-0.34353822037923587,95.60528091953994,93.34690396865396,-2.2583769508859763
UP,9,97.24989707698641,96.1794977356937,-1.070399341292716,96.00325732967049,94.89308604656047,-1.1101712831100174,96.40121579878357,95.01899647975013,-1.3822193190334398
HanChuan,0,91.00485064436845,91.2506339649141,0.2457833205456672,83.10841955167834,84.20177764476105,1.093358093082708,89.50090045275545,89.79164681611054,0.29074636335509885
HanChuan,1,87.74074411225405,90.27790420952702,2.5371600972729724,84.12436527692415,83.76572926757895,-0.35863600934520345,85.7907568626484,88.65970941436716,2.868952551718773
HanChuan,2,90.45216328335306,90.28310597292483,-0.16905731042823335,85.6107203928771,85.34097805604443,-0.2697423368326679,88.86312602381314,88.66300317426091,-0.20012284955223114
HanChuan,3,90.91642066660597,90.91251934405764,-0.003901322548338637,82.24932310105994,82.96908371364307,0.7197606125831202,89.41018543228444,89.40822148492788,-0.001963947356553586
HanChuan,4,91.5458340377388,91.05296695579803,-0.4928670819407732,86.52635065477499,86.39512402433017,-0.13122663044481397,90.13982959921434,89.57450405374746,-0.5653255454668771
HanChuan,5,90.66413514181308,90.92552375255212,0.26138861073904396,85.39657292183445,85.5864472445987,0.18987432276424965,89.10651482528989,89.40710278151064,0.30058795622075474
HanChuan,6,91.53673095179265,91.85013719650962,0.31340624471696277,85.70093771554626,83.42615198506572,-2.274785730480544,90.13047592013616,90.48612463303321,0.3556487128970498
HanChuan,7,91.29875027634368,91.99708701249723,0.6983367361535597,84.28422805519308,84.39532388946847,0.1110958342753765,89.83332367809182,90.64345064512418,0.8101269670323652
HanChuan,8,92.06861125921687,92.1830500539683,0.11443879475142582,85.67693726265126,85.05414446647232,-0.6227927961789392,90.740401908673,90.87133118725858,0.13092927858557868
HanChuan,9,90.33512360690274,90.266200241882,-0.06892336502074548,82.12028224452507,81.80930569428186,-0.3109765502432138,88.72298083907641,88.64771501676836,-0.07526582230805712
HongHu,0,91.97205153954826,91.71588568705214,-0.25616585249612633,85.74830214060245,84.29732800536426,-1.450974135238181,89.81187649431642,89.50224300508346,-0.3096334892329633
HongHu,1,93.55159912171708,93.93372027710166,0.3821211553845849,87.65133930323688,89.33209109921701,1.6807517959801288,91.76567791787905,92.26764997894594,0.501972061066891
HongHu,2,92.59161546186448,93.11245766029515,0.520842198430671,86.45181967921066,88.30072181353718,1.8489021343265133,90.58012304550655,91.24619594426933,0.6660728987627706
HongHu,3,93.67329917788634,93.91329509284948,0.23999591496314254,89.35735959704665,89.50371160587648,0.1463520088298198,91.95914047537119,92.2518699163854,0.2927294410142278
HongHu,4,91.83418154584602,90.32782420724753,-1.5063573385984963,86.21884145631267,84.27860670332649,-1.9402347529861808,89.6963907543807,87.82827388329095,-1.8681168710897533
HongHu,5,93.24266820990282,92.82224983404538,-0.42041837585743425,87.07686769708477,85.38124773080278,-1.6956199662819915,91.40287745363545,90.87245457198759,-0.530422881647874
HongHu,6,90.86058109649198,89.26911882350939,-1.5914622729825911,83.47670187970571,82.633816404897,-0.8428854748087078,88.39913135576721,86.48040186487248,-1.9187294908947328
HongHu,7,87.91084407073923,92.7269323075352,4.816088236795968,86.39957399734787,86.18107285605046,-0.21850114129741138,84.85899215607323,90.75638951971516,5.897397363641921
HongHu,8,93.64266140150806,93.56181171384317,-0.08084968766489675,88.57745148668914,87.88991585809335,-0.6875356285957923,91.92583303998944,91.81573035949944,-0.1101026804900096
HongHu,9,92.96863032118601,92.68693298837466,-0.2816973328113481,88.7942731101147,88.32998235924042,-0.4642907508742744,91.06626469901279,90.70888824567572,-0.357376453337066
Houston,0,92.39454622922881,92.50106518960375,0.10651896037494613,89.86511146368333,90.36376942002481,0.49865795634147503,91.732621604625,91.84590901551529,0.11328741089029482
Houston,1,95.24925436727739,94.90839369407755,-0.3408606731998387,94.00242494753107,93.77587710690165,-0.2265478406294319,94.83568642598127,94.46662088506267,-0.36906554091858945
Houston,2,93.52364720920325,92.7993182786536,-0.7243289305496448,91.6992434544681,89.85543623659267,-1.8438072178754372,92.96178322115155,92.16909099587022,-0.7926922252813329
Houston,3,91.96847038772901,90.09373668512995,-1.874733702599063,87.08770030636404,82.60724112783853,-4.480459178525498,91.26477480573476,89.22572208729687,-2.0390527184378837
Houston,4,93.92841925862804,93.90711546655305,-0.021303792074989225,91.17971936282727,90.47899856099852,-0.700720801828747,93.40020042268041,93.37684653129355,-0.023353891386868053
Houston,5,91.92586280357904,93.41712824882829,1.4912654452492569,88.61000556727016,90.27564642220612,1.665640854935957,91.2224808567523,92.84236247448224,1.6198816177299458
Houston,6,93.77929271410311,94.7805709416276,1.0012782275244936,92.83741317066861,93.82748610413834,0.9900729334697322,93.24549931732949,94.33052856286542,1.08502924553594
Houston,7,89.85939497230507,93.97102684277802,4.111631870472943,85.39265563276024,91.2598326509962,5.867177018235958,88.96461337346159,93.44732943807482,4.482716064613235
Houston,8,91.96847038772901,90.92458457605453,-1.0438858116744831,91.35549571716862,89.6440671518155,-1.7114285653531125,91.27698225163286,90.13764333233591,-1.1393389192969394
Houston,9,92.11759693225395,92.92714103110353,0.8095440988495906,90.6702614792507,92.10598454133105,1.435723062080363,91.43590103933599,92.32005153581672,0.884150496480729
