core,block,branch,A_mode,d_inner,d_state,stored_A_parameter_count,lambda_min,lambda_max,lambda_mean,mean_statewise_channel_cv,max_statewise_channel_cv,row_shared_relative_fro_error_lambda,row_shared_relative_fro_error_A_log,best_rank1_energy_ratio_lambda,dataset,seed
block0_spe,0,spe,shared,16,16,16,0.9773941325615566,15.742054083320486,8.472734787419494,1.5115841377384866e-16,4.3923584839463337e-16,2.3182109219137394e-16,0.0,1.0,UP,3
block1_spa,1,spa,shared,64,16,16,0.9320064937050109,16.0491821553887,8.320908431671509,7.314935123323471e-16,1.5054367621221872e-15,9.62566571854283e-16,0.0,1.0,UP,3
block1_spe,1,spe,shared,16,16,16,1.0523415134336238,17.056545379461298,8.564773341530946,2.433049885025106e-16,4.2200103690775214e-16,2.8772366805803167e-16,0.0,1.0,UP,3
block2_spa,2,spa,shared,64,16,16,1.025693252364891,16.176850792434323,8.485059245772378,8.962546252327213e-16,1.7569371069241967e-15,1.096214440600689e-15,0.0,1.0,UP,3
block2_spe,2,spe,shared,16,16,16,0.9576413342653571,15.309392221952795,8.387113376920402,1.6558117355138522e-16,3.964277686848916e-16,2.395655303447201e-16,0.0,1.0,UP,3
block0_spa,0,spa,shared,64,16,16,0.888164758706527,16.069352416996395,8.040072824542639,1.0611940435369027e-15,1.5896015454061687e-15,1.1469082207798001e-15,0.0,1.0,UP,4
block0_spe,0,spe,shared,16,16,16,0.9347792690139829,15.345171542851775,8.34812960968953,2.4117711089269816e-16,4.863412328666349e-16,2.656334197250412e-16,0.0,1.0,UP,4
block1_spa,1,spa,shared,64,16,16,0.9068582898495046,14.773888301325046,7.960444125802201,7.827783782008351e-16,1.3188890133916033e-15,9.298423257343237e-16,0.0,1.0,UP,4
block1_spe,1,spe,shared,16,16,16,0.9759918502278604,14.80893864333882,8.361397656298593,1.505743245630925e-16,3.960190106907602e-16,1.5419889768432824e-16,0.0,1.0,UP,4
block2_spa,2,spa,shared,64,16,16,0.9969077570355306,15.766773267988318,8.354414225689908,6.761370850393226e-16,1.5085116186226252e-15,7.05466552776329e-16,0.0,1.0,UP,4
block2_spe,2,spe,shared,16,16,16,0.9876338645560544,16.64238624670845,8.57659125097338,2.17746508326557e-16,4.457286938540059e-16,2.1921589889021378e-16,0.0,1.0,UP,4
block0_spa,0,spa,shared,64,16,16,0.8314808039303875,15.543504075529594,8.022899030047574,6.315356870455289e-16,1.599960705820204e-15,8.577656186697536e-16,0.0,1.0,UP,5
block0_spe,0,spe,shared,16,16,16,1.0041978118427686,15.708285298564592,8.415182548776961,1.402542081332081e-16,3.225604781619638e-16,1.4615001831600516e-16,0.0,1.0,UP,5
block1_spa,1,spa,shared,64,16,16,0.9943671025381496,14.55506347366788,8.168221880108945,7.095123457596791e-16,1.245434403810351e-15,8.703105909876467e-16,0.0,1.0,UP,5
block1_spe,1,spe,shared,16,16,16,0.9488316544800813,16.013811469020023,8.344878660286174,1.925038892710234e-16,3.873166428607798e-16,2.3337183980350323e-16,0.0,1.0,UP,5
block2_spa,2,spa,shared,64,16,16,1.0242154972309496,16.315015596434538,8.402571290402916,9.274182836809176e-16,1.6375208160216028e-15,1.0500432310645686e-15,0.0,1.0,UP,5
block2_spe,2,spe,shared,16,16,16,1.0327285434484192,15.627225477068334,8.50654755142104,2.207559371674107e-16,3.54501301249921e-16,2.8487619649763774e-16,0.0,1.0,UP,5
block0_spa,0,spa,shared,64,16,16,0.9277430411812011,15.75031328515972,8.317339147030285,9.45725125636768e-16,1.751978781889191e-15,8.85399772571016e-16,0.0,1.0,UP,6
block0_spe,0,spe,shared,16,16,16,0.9992375791622394,15.800358881731393,8.462306316784703,1.954384029030528e-16,3.4582758589121663e-16,2.2811334026867435e-16,0.0,1.0,UP,6
block1_spa,1,spa,shared,64,16,16,0.9519496897038806,15.636099175064203,8.120605404891972,5.492581414956198e-16,1.8176982067068117e-15,1.0677208404432136e-15,0.0,1.0,UP,6
block1_spe,1,spe,shared,16,16,16,0.9763859544339997,15.918683565763223,8.39743078040351,1.971031400869101e-16,3.7356369564886765e-16,2.572943868147274e-16,0.0,1.0,UP,6
block2_spa,2,spa,shared,64,16,16,1.0551309964166833,15.583660677205934,8.381483158032726,6.683865307628979e-16,1.6867214287071888e-15,7.767548123205725e-16,0.0,1.0,UP,6
block2_spe,2,spe,shared,16,16,16,1.0333271163030837,16.906489046612972,8.382465769588197,2.0971310537797057e-16,4.113099981348749e-16,2.987202192683966e-16,0.0,1.0,UP,6
block0_spa,0,spa,shared,64,16,16,0.9761540245605391,15.909175359861257,8.393952886606995,7.891243005479491e-16,1.5745120669397035e-15,9.111223106146998e-16,0.0,1.0,UP,7
block0_spe,0,spe,shared,16,16,16,1.0053186368328673,16.790518819344122,8.622102147361826,2.031480862030119e-16,4.541418646073199e-16,2.1799029491629048e-16,0.0,1.0,UP,7
block1_spa,1,spa,shared,64,16,16,0.9426487793192069,15.50639349355989,8.334093559267009,7.046654548104741e-16,1.6831836682057532e-15,8.984628278302687e-16,0.0,1.0,UP,7
block1_spe,1,spe,shared,16,16,16,1.0803031099976401,15.817500940626346,8.55121960352384,2.3353494769083257e-16,4.745251624765586e-16,3.1186082719448216e-16,0.0,1.0,UP,7
block2_spa,2,spa,shared,64,16,16,1.015361699338601,16.435583805320913,8.626711398727783,7.872492015524048e-16,1.4178246905211915e-15,7.380479751217229e-16,0.0,1.0,UP,7
block2_spe,2,spe,shared,16,16,16,1.0138755996214768,16.850858702122483,8.524502085803201,1.3583809972340165e-16,3.5922160400399305e-16,1.7144921911887091e-16,0.0,1.0,UP,7
block0_spa,0,spa,shared,64,16,16,0.960439821043202,15.975894153769358,8.263893046288159,8.228872304116871e-16,1.490263251204583e-15,8.975590906930118e-16,0.0,1.0,UP,8
block0_spe,0,spe,shared,16,16,16,1.003729977944051,16.57073862943288,8.478924024032352,1.8704379631740721e-16,4.2879364139992967e-16,2.8681574143059893e-16,0.0,1.0,UP,8
block1_spa,1,spa,shared,64,16,16,0.901196456519763,16.286695211586242,8.449543042090232,6.417770400315061e-16,1.3729147619700491e-15,8.326009557804864e-16,0.0,1.0,UP,8
block1_spe,1,spe,shared,16,16,16,0.9629495577982663,15.202013975761723,8.394242430388847,1.7996634049890659e-16,3.581832113130295e-16,2.5205985879931044e-16,0.0,1.0,UP,8
block2_spa,2,spa,shared,64,16,16,0.9807621417333753,16.734392294919054,8.298046576645552,1.0246091931716658e-15,1.6466711714977792e-15,1.0326611236477756e-15,0.0,1.0,UP,8
block2_spe,2,spe,shared,16,16,16,0.9547452407238795,16.054386934725155,8.492579919027566,1.6806081815917214e-16,4.825238787510953e-16,2.309083616696773e-16,0.0,1.0,UP,8
block0_spa,0,spa,shared,64,16,16,0.9316311008693738,15.782433898196578,8.325572019761813,7.080307920848053e-16,1.4700251124267549e-15,8.41386863192906e-16,0.0,1.0,UP,9
block0_spe,0,spe,shared,16,16,16,1.0243258035537786,15.586547837023904,8.403372650730857,1.610699930365547e-16,3.4653987057233203e-16,2.1030716643010533e-16,0.0,1.0,UP,9
block1_spa,1,spa,shared,64,16,16,0.9244482356392957,15.623526174842578,7.95711584493268,6.970601490825317e-16,1.5048782187279429e-15,9.617425834460855e-16,0.0,1.0,UP,9
block1_spe,1,spe,shared,16,16,16,1.030672301248079,15.891627049174934,8.623909145151217,1.5638369489585714e-16,4.308733331751507e-16,1.9592674878570092e-16,0.0,1.0,UP,9
block2_spa,2,spa,shared,64,16,16,0.9502511407604177,16.71303661768245,8.432276179414242,6.817798661892933e-16,1.4020163432627627e-15,8.360821568673238e-16,0.0,1.0,UP,9
block2_spe,2,spe,shared,16,16,16,0.9550523545206623,15.36768461280051,8.455097850604844,1.9378197693730306e-16,3.4677120545289593e-16,2.4500606345750253e-16,0.0,1.0,UP,9
block0_spa,0,spa,per_channel,64,16,1024,0.772993610991952,18.21108487936289,8.496570492220927,0.06524539957553221,0.0824906836358554,0.06265583920069435,0.03175548262417631,0.9967909990295338,UP,0
block0_spe,0,spe,per_channel,16,16,256,0.9532885529545693,17.24569507562266,8.465070361375194,0.034988805925051075,0.05977323521022939,0.040720146135675005,0.017656237967521388,0.9986197268925124,UP,0
block1_spa,1,spa,per_channel,64,16,1024,0.8755050631211647,17.4126225538537,8.509337970101317,0.05295772153772657,0.06785049060945457,0.05185292443450111,0.026331642983274506,0.9984007879797147,UP,0
block1_spe,1,spe,per_channel,16,16,256,0.9318455598126227,17.492651559941233,8.517499347651468,0.03570098479678138,0.05774622942288161,0.038627039976910284,0.01818120149383495,0.9990900433261363,UP,0
