dataset,seeds,shared_OA_mean,shared_OA_sample_std,shared_mAcc_mean,shared_mAcc_sample_std,shared_Kappa_mean,shared_Kappa_sample_std,per_channel_OA_mean,per_channel_OA_sample_std,per_channel_mAcc_mean,per_channel_mAcc_sample_std,per_channel_Kappa_mean,per_channel_Kappa_sample_std,paired_OA_cost_shared_pp_mean,paired_OA_cost_shared_pp_sample_std
UP,10,96.30876904075751,1.558225510897903,95.3820321145121,1.035355647323563,95.1929427793013,1.9875019660217852,96.10621655002059,1.5224194290693784,95.01515149085533,0.8302135864398934,94.93458872189821,1.9365236463370943,-0.20255249073692916,1.1033087612255839
HanChuan,10,90.75633639803894,1.1882866291802958,84.47981371770646,1.5570540506203523,89.2238495541983,1.3591150153372276,91.09991287046309,0.7202886225360965,84.29440659862448,1.363786951758217,89.61528092071089,0.8345509134129218,0.3435764724241541,0.8340480119346507
HongHu,10,92.22481319466903,1.7726484607834196,86.97525303473515,1.7301425682761693,90.1466307391932,2.1861055294773424,92.40702285918537,1.543125297119529,86.61284944364054,2.3927209723145366,90.37300972897255,1.9107655549405829,0.1822096645163474,1.7785050123428918
Houston,10,92.67149552620367,1.4912316293228767,90.27000311019921,2.6154769782346694,92.03405433186852,1.624038000858499,93.02300809544099,1.5561735973283826,90.41943393228433,3.13418814835518,92.41621048586137,1.6932241689053205,0.3515125692373211,1.6602764402411865
