dataset,seed,batch_size,model_kind,backend,scope,clock,median_ms_per_scene,amortized_ms_per_tile,tiles_per_second,p95_ms_per_scene,checkpoint_sha256
UP,0,32,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,3423.04248046875,3.9895600005463288,250.6542074472023,3790.142822265625,544f4bc3b753234f5a1bdbff82c921dcfdf6bf6976dfda68b3151e70125ee8c3
UP,0,64,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,2031.9806250045076,2.36827578671854,422.2481205981463,2064.5019574207254,544f4bc3b753234f5a1bdbff82c921dcfdf6bf6976dfda68b3151e70125ee8c3
UP,0,64,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,2031.873046875,2.3681504042832167,422.27047665187314,2064.407861328125,544f4bc3b753234f5a1bdbff82c921dcfdf6bf6976dfda68b3151e70125ee8c3
UP,0,64,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,2061.311413999647,2.402460855477444,416.2398724291676,2108.672000374645,544f4bc3b753234f5a1bdbff82c921dcfdf6bf6976dfda68b3151e70125ee8c3
UP,0,64,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,2061.209716796875,2.402342327269085,416.26040912194713,2108.5785644531247,544f4bc3b753234f5a1bdbff82c921dcfdf6bf6976dfda68b3151e70125ee8c3
HanChuan,0,1,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,183537.18234802363,125.45261951334493,7.971136863297029,183771.3945412077,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,1,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,183538.3125,125.4533920027341,7.97108778037828,183772.70625,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,1,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,183243.09235898545,125.25160106560865,7.983929877879846,185977.03152500326,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,1,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,183242.4375,125.25115345181135,7.983958410289102,185975.475,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,2,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,90810.62399002258,62.07151332195665,16.11044980993348,92199.75942879682,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,2,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,90810.171875,62.07120428913192,16.11053001874962,92199.5265625,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,2,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,91267.08035904448,62.38351357419309,16.029876207769124,91967.85290860571,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,2,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,91267.421875,62.383747009569376,16.029816225155642,91967.8140625,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,4,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,46022.79199403711,31.45782091185038,31.788597271316178,47272.08752220031,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,4,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,46022.734375,31.457781527682844,31.788637069654776,47272.09921875,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,4,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,45442.020354035776,31.060847815472165,32.19487136799517,45585.402858187445,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,4,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,45441.94140625,31.06079385252905,32.19492730120861,45585.28515625,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,8,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,23397.787907044403,15.99301975874532,62.527278468044095,23500.97187658539,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,8,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,23397.75,15.992993848257006,62.527379769422275,23500.876953125,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,8,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,23501.88126397552,16.064170378657224,62.25033577386573,23685.664753825404,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,8,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,23501.755859375,16.064084661226932,62.2506679396212,23685.56328125,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,16,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,11996.206137002446,8.19973078400714,121.9552234508007,12035.141188383568,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,16,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,11996.0537109375,8.19962659667635,121.95677305663426,12035.044140625,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,16,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,11873.199530004058,8.115652447029431,123.21868223497293,12258.453381957952,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,16,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,11873.095703125,8.11558147855434,123.21975974765691,12258.321289062498,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,32,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,5890.25793800829,4.026150333566842,248.37621975086094,6145.560555986594,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,32,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,5890.1455078125,4.026073484492481,248.3809607181221,6145.463964843751,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,32,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,5911.650117021054,4.0407724654962776,247.4774337181548,6257.222443819046,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,32,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,5911.55517578125,4.040707570595523,247.48140827538757,6257.11435546875,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,64,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,2862.467925006058,1.9565741114190418,511.097430025143,2948.541365028359,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,64,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,2862.34619140625,1.956490903216849,511.1191666446324,2948.451904296875,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,64,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,2890.0299909873866,1.9754135276742217,506.22312036982083,2932.278039806988,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HanChuan,0,64,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,2889.93994140625,1.9753519763542378,506.2388941162914,2932.1839355468746,5dd58d93fb5f6f935dec3187f423514785386646c3f0b937cec6f116dcae468b
HongHu,0,1,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,161398.99346599123,91.1858720146843,10.966611141679524,194186.01242061704,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,1,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,161401.78125,91.18744703389831,10.966421722808589,194185.21875,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,1,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,231603.40289998567,130.84938016948342,7.642374757180693,240430.23927798495,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,1,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,231605.1875,130.8503884180791,7.642315869975926,240431.81562500002,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,2,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,97814.66292397818,55.262521425976374,18.09544650146828,99067.4379065982,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,2,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,97814.9609375,55.26268979519774,18.095391369945563,99067.784375,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
