monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
845631.297722712,1790128878.9560819,78.613,45,2520,10501,18,-0.001450560986995697
845631.3981661396,1790128879.056533,78.613,45,2520,10501,18,0.09899286658037454
845631.4984108009,1790128879.156765,79.46,45,2520,10501,18,0.199237527907826
845631.59854783,1790128879.2569008,79.46,45,2520,10501,18,0.2993745569838211
845631.6987148735,1790128879.3570766,79.46,45,2520,10501,18,0.39954160049092025
845631.798872159,1790128879.457223,79.46,45,2520,10501,18,0.49969888594932854
845631.8990577185,1790128879.5574238,79.46,45,2520,10501,18,0.5998844454297796
845631.9993006049,1790128879.6576684,78.854,45,2520,10501,20,0.7001273318892345
845632.0994882185,1790128879.7578366,78.854,45,2520,10501,20,0.8003149455180392
845632.1996187549,1790128879.8579657,78.854,45,2520,10501,20,0.9004454818787053
845632.2997604185,1790128879.9581082,78.854,45,2520,10501,20,1.0005871454486623
845632.4000523855,1790128880.0584328,78.854,45,2520,10501,20,1.1008791124913841
845632.5002968474,1790128880.1586478,79.463,45,2520,10501,20,1.2011235743993893
845632.600419283,1790128880.25877,79.463,45,2520,10501,20,1.3012460099998862
845632.700682256,1790128880.3590443,79.463,45,2520,10501,20,1.4015089829917997
845632.801299758,1790128880.4597554,79.463,45,2520,10501,20,1.502126484992914
845632.9017854636,1790128880.5601385,79.463,45,2520,10501,20,1.6026121905306354
845633.001976876,1790128880.660325,79.252,45,2520,10501,25,1.702803603024222
845633.1021064986,1790128880.760455,79.252,45,2520,10501,25,1.8029332255246118
845633.2022255994,1790128880.8605752,79.252,45,2520,10501,25,1.9030523264082149
845633.302488119,1790128880.9608715,79.252,45,2520,10501,25,2.00331484596245
845633.402981261,1790128881.0613313,79.252,45,2520,10501,25,2.1038079879945144
845633.5031432465,1790128881.1615102,78.715,45,2520,10501,25,2.203969973488711
845633.6033360024,1790128881.261688,78.715,45,2520,10501,25,2.3041627294151112
845633.703859835,1790128881.362271,78.715,45,2520,10501,25,2.404686562018469
845633.8043036965,1790128881.4626558,78.715,45,2520,10501,25,2.5051304234657437
845633.9044619495,1790128881.5628097,78.715,45,2520,10501,25,2.6052886764518917
845634.004578198,1790128881.6629267,79.701,45,2520,10501,27,2.7054049249272794
845634.1047065984,1790128881.763057,79.701,45,2520,10501,27,2.805533325416036
845634.2048947895,1790128881.8632596,79.701,45,2520,10501,27,2.905721516464837
845634.305135183,1790128881.9634933,79.701,45,2520,10501,27,3.00596191000659
845634.4053595581,1790128882.0637133,79.701,45,2520,10501,27,3.1061862850328907
845634.505663415,1790128882.1640596,78.885,45,2520,10501,27,3.2064901419216767
845634.6060180245,1790128882.2643864,78.885,45,2520,10501,27,3.306844751466997
845634.706193802,1790128882.364547,78.885,45,2520,10501,27,3.407020528917201
845634.8063501855,1790128882.4646974,78.885,45,2520,10501,27,3.507176912506111
845634.906502962,1790128882.5648513,78.885,45,2520,10501,27,3.6073296889662743
845635.006763384,1790128882.6651518,79.868,45,2520,10501,26,3.7075901109492406
845635.106997946,1790128882.7653527,79.868,45,2520,10501,26,3.807824673014693
845635.2071335809,1790128882.865486,79.868,45,2520,10501,26,3.907960307900794
845635.3076748794,1790128882.9660714,79.868,45,2520,10501,26,4.008501606411301
845635.4080825825,1790128883.066432,79.868,45,2520,10501,26,4.1089093094924465
845635.5082287515,1790128883.1665857,78.781,45,2520,10501,26,4.2090554784517735
845635.6083773675,1790128883.2667255,78.781,45,2520,10501,26,4.309204094461165
845635.708495931,1790128883.3668425,78.781,45,2520,10501,26,4.409322657971643
845635.8086587021,1790128883.467007,78.781,45,2520,10501,26,4.509485429036431
845635.9087924735,1790128883.5671432,78.781,45,2520,10501,26,4.609619200462475
845636.00891647,1790128883.6672685,79.529,45,2520,10501,22,4.709743196959607
845636.109487175,1790128883.7678425,79.529,45,2520,10501,22,4.8103139019804075
845636.2096343769,1790128883.8679893,79.529,45,2520,10501,22,4.910461103892885
845636.3097904399,1790128883.9681413,79.529,45,2520,10501,22,5.010617166873999
845636.4099211011,1790128884.068273,79.529,45,2520,10501,22,5.11074782803189
845636.5100890244,1790128884.1684372,78.881,45,2520,10501,22,5.210915751405992
845636.610236519,1790128884.268585,78.881,45,2520,10501,22,5.311063245986588
845636.7103544865,1790128884.3687024,78.881,45,2520,10501,22,5.411181213450618
845636.8104804666,1790128884.4688315,78.881,45,2520,10501,22,5.511307193548419
845636.910675873,1790128884.5690303,78.881,45,2520,10501,22,5.611502600018866
845637.0110392754,1790128884.669435,78.718,45,2520,10501,19,5.711866002413444
845637.1114743095,1790128884.7698255,78.718,45,2520,10501,19,5.812301036436111
845637.2116230989,1790128884.8699756,78.718,45,2520,10501,19,5.912449825904332
845637.311760347,1790128884.9701135,78.718,45,2520,10501,19,6.0125870739575475
845637.411922031,1790128885.07027,78.718,45,2520,10501,19,6.11274875793606
845637.5120495369,1790128885.1703982,79.031,45,2520,10501,19,6.212876263889484
845637.6121666864,1790128885.270515,79.031,45,2520,10501,19,6.312993413419463
845637.7123282815,1790128885.3706944,79.031,45,2520,10501,19,6.41315500845667
845637.812529349,1790128885.4708915,79.031,45,2520,10501,19,6.513356075971387
845637.9126964465,1790128885.5710552,79.031,45,2520,10501,19,6.613523173495196
845638.0132088095,1790128885.6716256,78.295,45,2520,10501,19,6.714035536511801
845638.1135989545,1790128885.7719517,78.295,45,2520,10501,19,6.814425681484863
845638.2137493994,1790128885.8721037,78.295,45,2520,10501,19,6.914576126378961
845638.3139277624,1790128885.9722793,78.295,45,2520,10501,19,7.014754489413463
845638.4141118405,1790128886.07247,78.295,45,2520,10501,19,7.114938567508943
845638.5143650755,1790128886.1727233,79.369,45,2520,10501,19,7.215191802475601
845638.6145179796,1790128886.2728698,79.369,45,2520,10501,19,7.3153447065269575
845638.7146534785,1790128886.373006,79.369,45,2520,10501,19,7.4154802054399624
845638.8147889564,1790128886.473141,79.369,45,2520,10501,19,7.5156156833982095
845638.914933819,1790128886.573289,79.369,45,2520,10501,19,7.615760545944795
845639.0151072496,1790128886.6734676,78.465,45,2520,10501,20,7.715933976578526
845639.115264655,1790128886.7736187,78.465,45,2520,10501,20,7.816091381944716
845639.2154495164,1790128886.8737988,78.465,45,2520,10501,20,7.916276243398897
845639.3155748185,1790128886.9739234,78.465,45,2520,10501,20,8.016401545493864
845639.4157152346,1790128887.0740633,78.465,45,2520,10501,20,8.116541961557232
845639.515899257,1790128887.1742632,79.346,45,2520,10501,20,8.216725984006189
845639.6160871885,1790128887.2744482,79.346,45,2520,10501,20,8.316913915448822
845639.7162903994,1790128887.3746505,79.346,45,2520,10501,20,8.417117126402445
845639.8164410745,1790128887.4747937,79.346,45,2520,10501,20,8.517267801449634
845639.9165794405,1790128887.5749314,79.346,45,2520,10501,20,8.617406167439185
845640.0170114215,1790128887.6754355,78.635,45,2520,10501,19,8.717838148470037
845640.117320346,1790128887.7756698,78.635,45,2520,10501,19,8.818147072917782
845640.2174740245,1790128887.8758233,78.635,45,2520,10501,19,8.918300751480274
845640.3175998726,1790128887.975948,78.635,45,2520,10501,19,9.0184265995631
845640.417726053,1790128888.0760784,78.635,45,2520,10501,19,9.118552780011669
845640.5180053781,1790128888.1763694,79.093,45,2520,10501,19,9.218832105048932
845640.6181631736,1790128888.276514,79.093,45,2520,10501,19,9.318989900522865
845640.7183207065,1790128888.3766818,79.093,45,2520,10501,19,9.419147433480248
845640.818884684,1790128888.477304,79.093,45,2520,10501,19,9.519711410976015
845640.919529052,1790128888.5778813,79.093,45,2520,10501,19,9.620355778955854
845641.0196539899,1790128888.6780019,78.392,45,2520,10501,20,9.720480716903694
845641.119778866,1790128888.7781289,78.392,45,2520,10501,20,9.820605592918582
845641.2199042215,1790128888.8782525,78.392,45,2520,10501,20,9.920730948448181
845641.3202830551,1790128888.9786386,78.392,45,2520,10501,20,10.021109782042913
845641.4204670305,1790128889.078818,78.392,45,2520,10501,20,10.12129375746008
845641.5205948455,1790128889.178947,78.447,45,2520,10501,20,10.221421572496183
845641.6211672105,1790128889.2795289,78.447,45,2520,10501,20,10.321993937483057
845641.721434032,1790128889.3797948,78.447,45,2520,10501,20,10.42226075893268
845641.821631824,1790128889.4799826,78.447,45,2520,10501,20,10.522458550985903
845641.9217539739,1790128889.5801034,78.447,45,2520,10501,20,10.6225807009032
845642.0218787435,1790128889.6802268,78.712,45,2520,10501,27,10.722705470514484
845642.122040522,1790128889.7803926,78.712,45,2520,10501,27,10.822867249022238
845642.2222063215,1790128889.8805587,78.712,45,2520,10501,27,10.923033048515208
845642.322338407,1790128889.9806907,78.712,45,2520,10501,27,11.023165134014562
845642.4224845329,1790128890.080836,78.712,45,2520,10501,27,11.12331125990022
845642.522864613,1790128890.181257,78.287,45,2520,10501,27,11.223691339953803
845642.6231880251,1790128890.2815375,78.287,45,2520,10501,27,11.324014752055518
845642.723334461,1790128890.381688,78.287,45,2520,10501,27,11.424161187955178
845642.8235046015,1790128890.4818528,78.287,45,2520,10501,27,11.524331328459084
845642.923640045,1790128890.581989,78.287,45,2520,10501,27,11.624466771958396
845643.0238009274,1790128890.6821504,79.336,45,2520,10501,27,11.724627654417418
845643.1239343146,1790128890.782286,79.336,45,2520,10501,27,11.824761041556485
845643.2240791221,1790128890.8824308,79.336,45,2520,10501,27,11.924905849038623
845643.324219031,1790128890.9825711,79.336,45,2520,10501,27,12.02504575799685
845643.424343773,1790128891.0826955,79.336,45,2520,10501,27,12.125170500017703
845643.5247322845,1790128891.1831756,78.332,45,2520,10501,27,12.225559011450969
845643.6253956625,1790128891.2837486,78.332,45,2520,10501,27,12.326222389470786
845643.725553803,1790128891.3839061,78.332,45,2520,10501,27,12.426380529999733
845643.8256962809,1790128891.4840446,78.332,45,2520,10501,27,12.526523007894866
845643.925824922,1790128891.5841744,78.332,45,2520,10501,27,12.626651649014093
845644.0260854225,1790128891.6844945,79.596,45,2520,10501,26,12.726912149460986
845644.1270134905,1790128891.7854388,79.596,45,2520,10501,26,12.827840217505582
845644.2274356515,1790128891.8857863,79.596,45,2520,10501,26,12.928262378438376
845644.3275580234,1790128891.9859087,79.596,45,2520,10501,26,13.028384750359692
845644.4276855945,1790128892.0860362,79.596,45,2520,10501,26,13.128512321505696
845644.527810041,1790128892.1861606,78.506,45,2520,10501,26,13.228636767948046
845644.6279535375,1790128892.2863038,78.506,45,2520,10501,26,13.328780264477246
845644.728074207,1790128892.386422,78.506,45,2520,10501,26,13.428900933940895
845644.8282042025,1790128892.4865587,78.506,45,2520,10501,26,13.529030929435976
845644.9284498771,1790128892.586824,78.506,45,2520,10501,26,13.629276604042388
845645.0288017485,1790128892.6871536,79.099,45,2520,10501,19,13.72962847549934
845645.1289775885,1790128892.7873287,79.099,45,2520,10501,19,13.829804315464571
845645.2291054155,1790128892.8874567,79.099,45,2520,10501,19,13.929932142491452
845645.329228812,1790128892.98758,79.099,45,2520,10501,19,14.030055538984016
845645.4293459055,1790128893.0876927,79.099,45,2520,10501,19,14.130172632518224
845645.52949736,1790128893.1878452,79.142,45,2520,10501,19,14.230324086965993
845645.629614607,1790128893.2879636,79.142,45,2520,10501,19,14.330441333935596
845645.7298460274,1790128893.3882077,79.142,45,2520,10501,19,14.430672754417174
845645.8300178719,1790128893.488368,79.142,45,2520,10501,19,14.530844598892145
845645.9301441135,1790128893.588496,79.142,45,2520,10501,19,14.630970840458758
845646.030304502,1790128893.6886685,78.828,45,2520,10501,19,14.73113122896757
845646.130515464,1790128893.7888799,78.828,45,2520,10501,19,14.831342190969735
845646.2306804445,1790128893.889032,78.828,45,2520,10501,19,14.931507171480916
845646.33081069,1790128893.989159,78.828,45,2520,10501,19,15.031637416919693
845646.430934185,1790128894.0892847,78.828,45,2520,10501,19,15.131760912016034
845646.531065592,1790128894.1894135,79.822,45,2520,10501,19,15.231892318930477
845646.6312458054,1790128894.2896128,79.822,45,2520,10501,19,15.332072532386519
845646.731406305,1790128894.38976,79.822,45,2520,10501,19,15.432233031955548
845646.8315419646,1790128894.4898934,79.822,45,2520,10501,19,15.532368691521697
845646.9316879136,1790128894.5900407,79.822,45,2520,10501,19,15.63251464057248
845647.0319804805,1790128894.6903858,78.878,45,2520,10501,19,15.732807207503356
845647.132338589,1790128894.790692,78.878,45,2520,10501,19,15.83316531602759
845647.232485329,1790128894.8908336,78.878,45,2520,10501,19,15.93331205600407
845647.332603931,1790128894.9909508,78.878,45,2520,10501,19,16.033430657931603
845647.4327434511,1790128895.0910914,78.878,45,2520,10501,19,16.133570178062655
845647.532921087,1790128895.191284,79.861,45,2520,10501,19,16.233747813967057
845647.6332680159,1790128895.2916393,79.861,45,2520,10501,19,16.334094742895104
845647.7334858425,1790128895.3918543,79.861,45,2520,10501,19,16.434312569443136
845647.834392861,1790128895.492869,79.861,45,2520,10501,19,16.53521958796773
845647.9350370786,1790128895.5933886,79.861,45,2520,10501,19,16.635863805538975
845648.0351760229,1790128895.6935296,78.656,45,2520,10501,18,16.736002749879844
845648.1353400975,1790128895.7936883,78.656,45,2520,10501,18,16.83616682444699
845648.2355018186,1790128895.89385,78.656,45,2520,10501,18,16.93632854556199
845648.335622133,1790128895.993969,78.656,45,2520,10501,18,17.03644885995891
845648.4357583809,1790128896.0941198,78.656,45,2520,10501,18,17.136585107888095
845648.5360383929,1790128896.194398,79.384,45,2520,10501,18,17.236865119892173
845648.6361971966,1790128896.2945483,79.384,45,2520,10501,18,17.337023923522793
845648.736359226,1790128896.394711,79.384,45,2520,10501,18,17.43718595302198
845648.8364947066,1790128896.494846,79.384,45,2520,10501,18,17.537321433541365
845648.9366582481,1790128896.595012,79.384,45,2520,10501,18,17.637484975042753
845649.0368442545,1790128896.6951928,78.99,45,2520,10501,22,17.737670981441624
845649.1370027466,1790128896.7953546,78.99,45,2520,10501,22,17.837829473544843
845649.23712903,1790128896.895479,78.99,45,2520,10501,22,17.937955757020973
845649.3372529375,1790128896.995607,78.99,45,2520,10501,22,18.038079664460383
845649.438057823,1790128897.0964825,79.241,45,2520,10501,22,18.138884549960494
845649.53847779,1790128897.1968303,79.241,45,2520,10501,22,18.239304516930133
845649.6386086654,1790128897.2969606,79.241,45,2520,10501,22,18.33943539240863
845649.7387519809,1790128897.397106,79.241,45,2520,10501,22,18.439578707912005
845649.8389171235,1790128897.49727,79.241,45,2520,10501,22,18.539743850473315
845649.939111752,1790128897.5974605,79.625,45,2520,10501,27,18.639938478940167
845650.0392301094,1790128897.6975791,79.625,45,2520,10501,27,18.740056836395524
845650.139369448,1790128897.79772,79.625,45,2520,10501,27,18.840196174918674
845650.239577153,1790128897.8979294,79.625,45,2520,10501,27,18.94040387996938
845650.3397051635,1790128897.998056,79.625,45,2520,10501,27,19.04053189046681
845650.4398246366,1790128898.0981748,78.889,45,2520,10501,27,19.140651363530196
845650.5399693609,1790128898.1983192,78.889,45,2520,10501,27,19.240796087891795
845650.6400994025,1790128898.298449,78.889,45,2520,10501,27,19.340926129487343
845650.7402187635,1790128898.3985686,78.889,45,2520,10501,27,19.441045490442775
845650.8403750996,1790128898.4987342,78.889,45,2520,10501,27,19.541201826534234
845650.940549307,1790128898.598896,79.301,45,2520,10501,27,19.641376034007408
845651.0406626125,1790128898.6990108,79.301,45,2520,10501,27,19.74148933950346
845651.1408201605,1790128898.799181,79.301,45,2520,10501,27,19.84164688747842
845651.2410004715,1790128898.8993587,79.301,45,2520,10501,27,19.9418271984905
845651.3411445165,1790128898.9994972,79.301,45,2520,10501,27,20.04197124345228
845651.4414133235,1790128899.0997705,78.743,45,2520,10501,27,20.142240050481632
845651.541571844,1790128899.199924,78.743,45,2520,10501,27,20.24239857099019
845651.6419306465,1790128899.300288,78.743,45,2520,10501,27,20.342757373466156
845651.7420829405,1790128899.400443,78.743,45,2520,10501,27,20.442909667501226
845651.8422881875,1790128899.5006413,78.743,45,2520,10501,27,20.543114914442413
845651.942446096,1790128899.600794,79.363,45,2520,10501,27,20.643272822955623
845652.0425683095,1790128899.7009165,79.363,45,2520,10501,27,20.743395036435686
845652.1426997359,1790128899.8010492,79.363,45,2520,10501,27,20.843526462907903
845652.2428702835,1790128899.9012241,79.363,45,2520,10501,27,20.94369701051619
845652.3430201465,1790128900.0013733,79.363,45,2520,10501,27,21.043846873450093
845652.4431679244,1790128900.101519,79.01,45,2520,10501,27,21.143994651385583
845652.5432907195,1790128900.2016413,79.01,45,2520,10501,27,21.244117446476594
845652.643413853,1790128900.3017647,79.01,45,2520,10501,27,21.344240579986945
845652.7435345894,1790128900.401887,79.01,45,2520,10501,27,21.444361316389404
845652.8436600261,1790128900.502011,79.01,45,2520,10501,27,21.544486753060482
845652.9438073225,1790128900.6021671,79.553,45,2520,10501,27,21.6446340495022
845653.0439731656,1790128900.702322,79.553,45,2520,10501,27,21.744799892534502
845653.1441113094,1790128900.8024604,79.553,45,2520,10501,27,21.84493803640362
845653.244241273,1790128900.9025931,79.553,45,2520,10501,27,21.9450680000009
845653.344377117,1790128901.0027294,79.553,45,2520,10501,27,22.04520384396892
845653.444511065,1790128901.102863,79.077,45,2520,10501,27,22.145337791997008
845653.5446417135,1790128901.202994,79.077,45,2520,10501,27,22.24546844046563
845653.644772223,1790128901.3031235,79.077,45,2520,10501,27,22.345598949934356
845653.7451264935,1790128901.4035394,79.077,45,2520,10501,27,22.44595322047826
845653.8456884569,1790128901.5040379,79.077,45,2520,10501,27,22.546515183872543
845653.9458128831,1790128901.604161,79.408,45,2520,10501,27,22.646639610058628
845654.045940677,1790128901.7042878,79.408,45,2520,10501,27,22.746767404023558
845654.1460674584,1790128901.8044188,79.408,45,2520,10501,27,22.84689418540802
845654.2461982945,1790128901.9045506,79.408,45,2520,10501,27,22.947025021421723
845654.34633167,1790128902.0046833,79.408,45,2520,10501,27,23.047158396919258
845654.446458391,1790128902.1048093,78.924,45,2520,10501,27,23.147285118000582
845654.5466067661,1790128902.20496,78.924,45,2520,10501,27,23.247433493030258
845654.646747291,1790128902.3050985,78.924,45,2520,10501,27,23.34757401794195
845654.7468882315,1790128902.4052398,78.924,45,2520,10501,27,23.447714958456345
845654.847006978,1790128902.505359,78.924,45,2520,10501,27,23.54783370497171
845654.9471239905,1790128902.605472,79.444,45,2520,10501,27,23.647950717480853
845655.047267402,1790128902.7056153,79.444,45,2520,10501,27,23.748094129026867
845655.1474704901,1790128902.8058612,79.444,45,2520,10501,27,23.84829721704591
845655.247765003,1790128902.9061286,79.444,45,2520,10501,27,23.948591729975305
845655.3479236995,1790128903.0062766,79.444,45,2520,10501,27,24.04875042650383
845655.448068474,1790128903.1064203,79.049,45,2520,10501,27,24.148895200924017
845655.5482336035,1790128903.2066047,79.049,45,2520,10501,27,24.24906033044681
845655.648433082,1790128903.3067858,79.049,45,2520,10501,27,24.3492598090088
845655.748571964,1790128903.4069245,79.049,45,2520,10501,27,24.449398690951057
845655.8487269799,1790128903.507075,79.049,45,2520,10501,27,24.549553706892766
845655.948850584,1790128903.6071987,79.851,45,2520,10501,27,24.649677310953848
845656.0489788626,1790128903.707329,79.851,45,2520,10501,27,24.749805589555763
845656.1491185969,1790128903.8074706,79.851,45,2520,10501,27,24.849945323891006
845656.2492454505,1790128903.9075968,79.851,45,2520,10501,27,24.950072177452967
845656.349368618,1790128904.0077198,79.851,45,2520,10501,27,25.05019534495659
845656.449511606,1790128904.1078618,79.27,45,2520,10501,27,25.150338332983665
845656.5496290615,1790128904.2079787,79.27,45,2520,10501,27,25.25045578845311
845656.6497449549,1790128904.3080962,79.27,45,2520,10501,27,25.350571681861766
845656.7498746344,1790128904.4082265,79.27,45,2520,10501,27,25.450701361405663
845656.8500412949,1790128904.5083947,79.27,45,2520,10501,27,25.550868021906354
845656.950192819,1790128904.6085427,79.634,45,2520,10501,27,25.651019545970485
845657.0503392145,1790128904.7086992,79.634,45,2520,10501,27,25.751165941474028
845657.150553013,1790128904.8089104,79.634,45,2520,10501,27,25.85137973993551
845657.250799909,1790128904.9091702,79.634,45,2520,10501,27,25.95162663597148
845657.3514655426,1790128905.0099778,79.634,45,2520,10501,27,26.052292269538157
845657.452208624,1790128905.110562,79.041,45,2520,10501,27,26.153035350958817
845657.5523592915,1790128905.2107108,79.041,45,2520,10501,27,26.25318601843901
845657.652492639,1790128905.3108442,79.041,45,2520,10501,27,26.353319365996867
845657.7526531459,1790128905.4110062,79.041,45,2520,10501,27,26.45347987290006
845657.852807494,1790128905.5111551,79.041,45,2520,10501,27,26.55363422096707
845657.9529248835,1790128905.6112733,79.74,45,2520,10501,27,26.653751610429026
845658.053063804,1790128905.7114167,79.74,45,2520,10501,27,26.75389053102117
845658.153189966,1790128905.8115408,79.74,45,2520,10501,27,26.854016692959704
845658.2533135321,1790128905.9116647,79.74,45,2520,10501,27,26.95414025906939
845658.3534298891,1790128906.0117793,79.74,45,2520,10501,27,27.05425661604386
845658.453541772,1790128906.111892,79.352,45,2520,10501,27,27.154368498944677
845658.5536560104,1790128906.2120059,79.352,45,2520,10501,27,27.25448273739312
845658.653781114,1790128906.3121312,79.352,45,2520,10501,27,27.35460784099996
845658.753905101,1790128906.4122565,79.352,45,2520,10501,27,27.454731827951036
845658.8540333165,1790128906.512381,79.352,45,2520,10501,27,27.554860043455847
845658.954151887,1790128906.612504,79.768,45,2520,10501,27,27.654978613951243
845659.054282421,1790128906.7126338,79.768,45,2520,10501,27,27.755109147983603
845659.1544161425,1790128906.8127668,79.768,45,2520,10501,27,27.855242869467475
845659.254538204,1790128906.912889,79.768,45,2520,10501,27,27.955364931025542
845659.354658938,1790128907.0130095,79.768,45,2520,10501,27,28.05548566498328
845659.454796326,1790128907.113147,79.173,45,2520,10501,27,28.155623052967712
845659.5549318885,1790128907.213284,79.173,45,2520,10501,27,28.255758615443483
845659.655061316,1790128907.313412,79.173,45,2520,10501,27,28.35588804294821
845659.7551834185,1790128907.413533,79.173,45,2520,10501,27,28.45601014548447
845659.8553103164,1790128907.51366,79.173,45,2520,10501,27,28.556137043400668
845659.955446016,1790128907.6137967,79.729,45,2520,10501,27,28.656272743013687
845660.056007782,1790128907.7144828,79.729,45,2520,10501,27,28.756834508967586
845660.1563146419,1790128907.8146672,79.729,45,2520,10501,27,28.857141368906014
845660.2565045485,1790128907.9148667,79.729,45,2520,10501,27,28.957331275450997
845660.356711037,1790128908.0150638,79.729,45,2520,10501,27,29.05753776396159
