monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
845188.1691086575,1790128435.8274727,60.527,43,2520,10501,0,-0.0004190094769001007
845188.2696135635,1790128435.927971,60.527,43,2520,10501,0,0.10008589655626565
845188.3697775175,1790128436.0281315,60.527,43,2520,10501,0,0.20024985051713884
845188.4701142644,1790128436.128492,56.946,43,2520,10501,0,0.3005865974118933
845188.5703875925,1790128436.228741,56.946,43,2520,10501,0,0.40085992554668337
845188.670520896,1790128436.3288677,56.946,43,2520,10501,0,0.500993228983134
845188.7706208851,1790128436.4289672,56.946,43,2520,10501,0,0.6010932180797681
845188.8707187645,1790128436.5290651,56.946,43,2520,10501,0,0.7011910974979401
845188.9708367444,1790128436.6291885,56.946,43,2520,10501,0,0.8013090774184093
845189.0712721555,1790128436.729672,56.946,43,2520,10501,0,0.9017444885103032
845189.1716282244,1790128436.829981,56.946,43,2520,10501,0,1.002100557438098
845189.271761602,1790128436.9301116,56.946,43,2520,10501,0,1.1022339350311086
845189.3720356401,1790128437.030464,56.946,43,2520,10501,0,1.2025079730665311
845189.4723257845,1790128437.1306767,57.029,43,2520,10501,0,1.3027981175109744
845189.572430777,1790128437.2307773,57.029,43,2520,10501,0,1.4029031100217253
845189.6725286515,1790128437.3308752,57.029,43,2520,10501,0,1.5030009845504537
845189.7726264824,1790128437.4309728,57.029,43,2520,10501,0,1.6030988154234365
845189.872795675,1790128437.5311587,57.029,43,2520,10501,0,1.7032680079573765
845189.972974766,1790128437.6313257,57.029,43,2520,10501,0,1.803447099053301
845190.0731491984,1790128437.7314992,57.029,43,2520,10501,0,1.9036215314408764
845190.1732766591,1790128437.831629,57.029,43,2520,10501,0,2.00374899210874
845190.273418501,1790128437.93177,57.029,43,2520,10501,0,2.10389083402697
845190.3735463344,1790128438.0318964,57.029,43,2520,10501,0,2.204018667456694
845190.4736713725,1790128438.1320224,57.137,43,2520,10501,0,2.30414370552171
845190.5737903055,1790128438.2321367,57.137,43,2520,10501,0,2.4042626385344192
845190.673885965,1790128438.332232,57.137,43,2520,10501,0,2.5043582980288193
845190.7739884064,1790128438.432336,57.137,43,2520,10501,0,2.6044607394142076
845190.8741255649,1790128438.5324779,57.137,43,2520,10501,0,2.7045978979440406
845190.974254359,1790128438.6326041,57.317,43,2520,10501,0,2.8047266920330003
845191.0744060535,1790128438.7327683,57.317,43,2520,10501,0,2.9048783865291625
845191.174681987,1790128438.8330674,57.317,43,2520,10501,0,3.005154320038855
845191.2749680945,1790128438.9333205,57.317,43,2520,10501,0,3.1054404275491834
845191.3751493711,1790128439.0335026,57.317,43,2520,10501,0,3.2056217041099444
845191.4752774315,1790128439.1336243,57.385,43,2520,10501,0,3.305749764549546
845191.575381302,1790128439.2337282,57.385,43,2520,10501,0,3.405853635049425
845191.675481047,1790128439.3338275,57.385,43,2520,10501,0,3.5059533800231293
845191.77560244,1790128439.4339538,57.385,43,2520,10501,0,3.606074773008004
845191.875726115,1790128439.5340784,57.385,43,2520,10501,0,3.706198447966017
845191.975859042,1790128439.6342113,57.385,43,2520,10501,0,3.806331375031732
845192.075993494,1790128439.7343657,57.385,43,2520,10501,0,3.906465827021748
845192.1761391,1790128439.834492,57.385,43,2520,10501,0,4.0066114329965785
845192.2762716145,1790128439.9346237,57.385,43,2520,10501,0,4.106743947486393
845192.376382006,1790128440.0347288,57.385,43,2520,10501,0,4.206854338990524
845192.4764811546,1790128440.1348283,56.674,42,2520,10501,0,4.306953487568535
845192.5765814534,1790128440.2349281,56.674,42,2520,10501,0,4.40705378644634
845192.676695482,1790128440.3350456,56.674,42,2520,10501,0,4.507167814997956
845192.7768105946,1790128440.4351616,56.674,42,2520,10501,0,4.607282927609049
845192.876932353,1790128440.535283,56.674,42,2520,10501,0,4.7074046860216185
845192.9770488825,1790128440.6353974,56.674,42,2520,10501,0,4.807521215523593
845193.077249301,1790128440.7356217,56.674,42,2520,10501,0,4.9077216340228915
845193.1746714446,1790128440.83302,56.674,42,2520,10501,0,5.005143777583726
