monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
845867.8788412635,1790129115.5372133,93.932,47,2520,10501,30,-0.0028628315776586533
845867.9792868885,1790129115.6376486,93.898,47,2520,10501,29,0.09758279344532639
845868.0794737205,1790129115.7378411,93.898,47,2520,10501,29,0.19776962546166033
845868.1797097474,1790129115.8380702,93.898,47,2520,10501,29,0.2980056523811072
845868.2799209175,1790129115.9382904,93.898,47,2520,10501,29,0.39821682241745293
845868.3801224125,1790129116.0384815,93.898,47,2520,10501,29,0.49841831740923226
845868.4802977875,1790129116.1386502,93.99,47,2520,10501,29,0.5985936924116686
845868.580454016,1790129116.2388089,93.99,47,2520,10501,29,0.69874992093537
845868.6806256541,1790129116.3389955,93.99,47,2520,10501,29,0.7989215590059757
845868.7814321159,1790129116.439879,93.99,47,2520,10501,29,0.8997280208859593
845868.881743635,1790129116.5401068,93.99,47,2520,10501,29,1.0000395399983972
845868.982228434,1790129116.6406822,93.593,47,2520,10501,29,1.1005243388935924
845869.0826674826,1790129116.741028,93.593,47,2520,10501,29,1.200963387498632
845869.1828852876,1790129116.8412519,93.593,47,2520,10501,29,1.30118119250983
845869.283061994,1790129116.9414165,93.593,47,2520,10501,29,1.401357898954302
845869.38322114,1790129117.0415788,93.593,47,2520,10501,29,1.5015170449623838
845869.4833656636,1790129117.141723,94.241,47,2520,10501,29,1.6016615685075521
845869.5835375716,1790129117.2419057,94.241,47,2520,10501,29,1.7018334765452892
845869.6839862384,1790129117.3424346,94.241,47,2520,10501,29,1.8022821433842182
845869.7844135719,1790129117.4427786,94.241,47,2520,10501,29,1.9027094768825918
845869.884895823,1790129117.5433242,94.241,47,2520,10501,29,2.0031917279120535
845869.9853039925,1790129117.6436636,93.517,47,2520,10501,30,2.103599897469394
845870.08549499,1790129117.7438564,93.517,47,2520,10501,30,2.203790894942358
845870.1856834029,1790129117.8440375,93.517,47,2520,10501,30,2.3039793078787625
845870.2858607695,1790129117.9442127,93.517,47,2520,10501,30,2.4041566743981093
845870.386032929,1790129118.0443883,93.517,47,2520,10501,30,2.5043288338929415
845870.4862504875,1790129118.1446311,94.029,47,2520,10501,30,2.604546392452903
845870.586875912,1790129118.2452369,94.029,47,2520,10501,30,2.705171816982329
845870.6874167544,1790129118.3459837,94.029,47,2520,10501,30,2.8057126593776047
845870.788355059,1790129118.4467158,94.029,47,2520,10501,30,2.9066509639378637
845870.8886299899,1790129118.546997,94.029,47,2520,10501,30,3.0069258948788047
845870.9888517426,1790129118.6472187,93.372,47,2520,10501,29,3.1071476475335658
845871.0890471374,1790129118.7474058,93.372,47,2520,10501,29,3.2073430423624814
845871.1892174125,1790129118.8475769,93.372,47,2520,10501,29,3.307513317442499
845871.289379576,1790129118.94774,93.372,47,2520,10501,29,3.4076754809357226
845871.389556792,1790129119.0479162,93.372,47,2520,10501,29,3.5078526969300583
