monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
846150.8974282534,1790129398.5557957,145.914,57,2700,10501,41,-0.0013233046047389507
846150.9981103375,1790129398.656489,147.586,57,2700,10501,42,0.09935877949465066
846151.098332067,1790129398.7566984,147.586,57,2700,10501,42,0.1995805089827627
846151.1985604935,1790129398.8569345,147.586,57,2700,10501,42,0.29980893549509346
846151.298866805,1790129398.957243,147.586,57,2700,10501,42,0.40011524700094014
846151.3990591385,1790129399.0574212,147.586,57,2700,10501,42,0.5003075804561377
846151.499299687,1790129399.1576588,146.357,57,2700,10501,42,0.6005481289466843
846151.599484557,1790129399.2578378,146.357,57,2700,10501,42,0.7007329990155995
846151.6996187465,1790129399.357971,146.357,57,2700,10501,42,0.8008671884890646
846151.7997566015,1790129399.4581087,146.357,57,2700,10501,42,0.9010050434153527
846151.899912884,1790129399.5582736,146.357,57,2700,10501,42,1.0011613259557635
846152.0001082856,1790129399.6584723,147.084,57,2700,10501,38,1.1013567275367677
846152.1008125315,1790129399.759277,147.084,57,2700,10501,38,1.2020609735045582
846152.201339743,1790129399.8597004,147.084,57,2700,10501,38,1.3025881849462166
846152.3017543375,1790129399.9601667,147.084,57,2700,10501,38,1.4030027794651687
846152.4021419745,1790129400.0605037,147.084,57,2700,10501,38,1.5033904165029526
846152.502323946,1790129400.1606853,146.139,57,2700,10501,38,1.6035723879467696
846152.6024810825,1790129400.260835,146.139,57,2700,10501,38,1.7037295245099813
846152.7026459221,1790129400.3610044,146.139,57,2700,10501,38,1.8038943640422076
846152.8028160646,1790129400.461178,146.139,57,2700,10501,38,1.9040645065251738
846152.9030084825,1790129400.5613766,146.139,57,2700,10501,38,2.004256924497895
846153.0033441395,1790129400.6618388,146.312,57,2700,10501,37,2.1045925815124065
846153.1040394835,1790129400.7624013,146.312,57,2700,10501,37,2.2052879254333675
846153.2042243185,1790129400.8625853,146.312,57,2700,10501,37,2.305472760461271
846153.3044022999,1790129400.9627612,146.312,57,2700,10501,37,2.4056507418863475
846153.4045620385,1790129401.0629237,146.312,57,2700,10501,37,2.5058104804484174
846153.504751446,1790129401.1631033,147.019,57,2700,10501,37,2.605999887920916
846153.6049042055,1790129401.2632637,147.019,57,2700,10501,37,2.7061526475008577
846153.7050780645,1790129401.3634431,147.019,57,2700,10501,37,2.806326506426558
846153.8054685855,1790129401.4638977,147.019,57,2700,10501,37,2.9067170274211094
846153.906199072,1790129401.5646787,147.019,57,2700,10501,37,3.0074475139845163
846154.006790625,1790129401.6651518,146.451,57,2700,10501,37,3.1080390670103952
846154.106997896,1790129401.7653623,146.451,57,2700,10501,37,3.208246337948367
846154.207174951,1790129401.8655384,146.451,57,2700,10501,37,3.3084233929403126
846154.3073369785,1790129401.9656963,146.451,57,2700,10501,37,3.40858542046044
846154.4075064105,1790129402.065873,146.451,57,2700,10501,37,3.5087548524606973
846154.507661886,1790129402.1660197,147.688,57,2700,10501,37,3.608910328010097
846154.6078500524,1790129402.2662117,147.688,57,2700,10501,37,3.70909849437885
846154.7081953629,1790129402.366607,147.688,57,2700,10501,37,3.8094438049010932
846154.808689561,1790129402.467071,147.688,57,2700,10501,37,3.909938002936542
846154.909212399,1790129402.5676084,147.688,57,2700,10501,37,4.010460841003805
846155.0101391855,1790129402.6686246,146.012,57,2700,10501,37,4.111387627432123
846155.111346567,1790129402.769862,146.012,57,2700,10501,37,4.212595009012148
846155.212039036,1790129402.8703966,146.012,57,2700,10501,37,4.313287477940321
846155.312192935,1790129402.9705458,146.012,57,2700,10501,37,4.413441376993433
846155.4123291115,1790129403.0706813,146.012,57,2700,10501,37,4.513577553443611
846155.512535339,1790129403.1708956,146.292,57,2700,10501,37,4.613783780951053
846155.6132806045,1790129403.271727,146.292,57,2700,10501,37,4.714529046439566
846155.71410555,1790129403.372554,146.292,57,2700,10501,37,4.815353991929442
846155.8145450696,1790129403.4729059,146.292,57,2700,10501,37,4.9157935115508735
846155.9153774815,1790129403.5738719,146.292,57,2700,10501,37,5.01662592345383
846156.01598403,1790129403.6743429,145.859,57,2700,10501,37,5.117232471937314
846156.1161638445,1790129403.774524,145.859,57,2700,10501,37,5.217412286438048
846156.216320928,1790129403.874675,145.859,57,2700,10501,37,5.317569369915873
846156.316468355,1790129403.9748209,145.859,57,2700,10501,37,5.417716796975583
846156.416616039,1790129404.0749753,145.859,57,2700,10501,37,5.517864480963908
846156.5167937825,1790129404.1751552,146.819,57,2700,10501,37,5.618042224436067
846156.6169892431,1790129404.2753556,146.819,57,2700,10501,37,5.7182376850396395
846156.717253241,1790129404.375621,146.819,57,2700,10501,37,5.818501682952046
846156.817466408,1790129404.47582,146.819,57,2700,10501,37,5.918714849976823
846156.9176231225,1790129404.5759757,146.819,57,2700,10501,37,6.0188715644180775
846157.017888811,1790129404.6762724,145.634,57,2700,10501,33,6.119137252913788
846157.1182255971,1790129404.776579,145.634,57,2700,10501,33,6.219474039040506
846157.2183811141,1790129404.87673,145.634,57,2700,10501,33,6.31962955603376
846157.318503655,1790129404.9768543,145.634,57,2700,10501,33,6.419752096990123
846157.418637133,1790129405.0769854,145.634,57,2700,10501,33,6.5198855749331415
846157.518769061,1790129405.1771216,146.132,57,2700,10501,33,6.620017502922565
846157.6189149634,1790129405.2772655,146.132,57,2700,10501,33,6.72016340540722
846157.7190383365,1790129405.3773894,146.132,57,2700,10501,33,6.820286778500304
846157.819168247,1790129405.477518,146.132,57,2700,10501,33,6.9204166890122
846157.91935323,1790129405.5777078,146.132,57,2700,10501,33,7.020601672003977
846158.0199078859,1790129405.67832,141.375,56,2700,10501,29,7.121156327892095
846158.120233316,1790129405.7785873,141.375,56,2700,10501,29,7.221481757936999
846158.220422662,1790129405.8787706,141.375,56,2700,10501,29,7.321671103942208
846158.320541854,1790129405.97889,141.375,56,2700,10501,29,7.421790295979008
846158.4206656651,1790129406.0790164,141.375,56,2700,10501,29,7.521914107026532
846158.5208214435,1790129406.1791732,140.655,57,2700,10501,29,7.6220698854885995
846158.621298678,1790129406.2796934,140.655,57,2700,10501,29,7.722547119949013
846158.7215843615,1790129406.379946,140.655,57,2700,10501,29,7.822832803474739
846158.8217612784,1790129406.480112,140.655,57,2700,10501,29,7.923009720398113
846158.9219083145,1790129406.5802608,140.655,57,2700,10501,29,8.023156756418757
846159.0220725869,1790129406.6804273,137.507,56,2700,10501,28,8.12332102889195
846159.122222735,1790129406.7805722,137.507,56,2700,10501,28,8.223471176926978
846159.2223468205,1790129406.8806953,137.507,56,2700,10501,28,8.323595262481831
846159.32248658,1790129406.9808362,137.507,56,2700,10501,28,8.423735021962784
846159.4226127455,1790129407.0809646,137.507,56,2700,10501,28,8.523861187510192
846159.522886512,1790129407.1812696,139.628,56,2700,10501,28,8.62413495394867
846159.6231655006,1790129407.281517,139.628,56,2700,10501,28,8.724413942545652
846159.7235126765,1790129407.3819366,139.628,56,2700,10501,28,8.824761118507013
846159.8240485415,1790129407.4823992,139.628,56,2700,10501,28,8.925296983448789
846159.9241946435,1790129407.5825472,139.628,56,2700,10501,28,9.025443085469306
846160.0243369415,1790129407.6826851,136.752,56,2700,10501,29,9.125585383502766
846160.1244587585,1790129407.7828093,136.752,56,2700,10501,29,9.225707200472243
846160.224604946,1790129407.8829532,136.752,56,2700,10501,29,9.325853387941606
846160.3247342755,1790129407.9830856,136.752,56,2700,10501,29,9.425982717424631
846160.4248637606,1790129408.083216,136.752,56,2700,10501,29,9.526112202554941
846160.5250212294,1790129408.183371,139.065,56,2700,10501,29,9.626269671367481
846160.625365253,1790129408.2837338,139.065,56,2700,10501,29,9.726613694918342
846160.7256309481,1790129408.3839939,139.065,56,2700,10501,29,9.826879390049726
846160.8257923455,1790129408.4841423,139.065,56,2700,10501,29,9.927040787413716
846160.9259295536,1790129408.5842788,139.065,56,2700,10501,29,10.027177995536476
846161.02605462,1790129408.684403,139.501,57,2700,10501,38,10.127303062006831
846161.126207422,1790129408.7845597,139.501,57,2700,10501,38,10.22745586396195
846161.2263662425,1790129408.8847184,139.501,57,2700,10501,38,10.327614684472792
846161.326529413,1790129408.9848824,139.501,57,2700,10501,38,10.42777785495855
846161.42687984,1790129409.085283,139.501,57,2700,10501,38,10.528128281934187
846161.5272342925,1790129409.185586,138.047,56,2700,10501,38,10.628482734435238
846161.6276289705,1790129409.2860007,138.047,56,2700,10501,38,10.728877412504517
846161.7278080864,1790129409.38616,138.047,56,2700,10501,38,10.829056528396904
846161.8279544975,1790129409.4863026,138.047,56,2700,10501,38,10.929202939500101
846161.928115097,1790129409.5864627,138.047,56,2700,10501,38,11.029363538953476
846162.028226362,1790129409.6865737,141.291,57,2700,10501,41,11.129474803921767
846162.1284525229,1790129409.7868204,141.291,57,2700,10501,41,11.22970096487552
846162.228730852,1790129409.8870842,141.291,57,2700,10501,41,11.329979293979704
846162.32914111,1790129409.9875243,141.291,57,2700,10501,41,11.430389551911503
846162.4293829191,1790129410.087734,141.291,57,2700,10501,41,11.53063136106357
846162.5295186001,1790129410.187871,137.823,56,2700,10501,41,11.630767042050138
846162.629670162,1790129410.2880228,137.823,56,2700,10501,41,11.730918603949249
846162.729824531,1790129410.3881726,137.823,56,2700,10501,41,11.831072972971015
846162.8299539655,1790129410.488302,137.823,56,2700,10501,41,11.93120240746066
846162.930090189,1790129410.5884383,137.823,56,2700,10501,41,12.031338630942628
846163.030258928,1790129410.6886125,141.106,57,2700,10501,41,12.131507369922474
846163.1304181805,1790129410.7887847,141.106,57,2700,10501,41,12.231666622450575
846163.2307710976,1790129410.889122,141.106,57,2700,10501,41,12.332019539549947
846163.3310074145,1790129410.9893625,141.106,57,2700,10501,41,12.43225585645996
846163.4311551889,1790129411.0895052,141.106,57,2700,10501,41,12.53240363090299
846163.531292083,1790129411.1896455,138.14,56,2700,10501,41,12.632540524937212
