monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
845568.7641144005,1790128816.4224765,59.691,44,2520,10501,0,-0.00033778755459934473
845568.8654039421,1790128816.524227,59.691,44,2520,10501,0,0.10095175402238965
845568.966188231,1790128816.6245413,57.15,43,2520,10501,0,0.20173604297451675
845569.06636112,1790128816.724716,57.15,43,2520,10501,0,0.3019089319277555
845569.1665000445,1790128816.82485,57.15,43,2520,10501,0,0.40204785647802055
845569.266624467,1790128816.924973,57.15,43,2520,10501,0,0.502172278938815
845569.3667389629,1790128817.0250854,57.15,43,2520,10501,0,0.6022867748979479
845569.466839982,1790128817.1251864,57.15,43,2520,10501,0,0.7023877939209342
845569.567376951,1790128817.2257907,57.15,43,2520,10501,0,0.8029247629456222
845569.6678138541,1790128817.3261662,57.15,43,2520,10501,0,0.9033616660162807
845569.768130894,1790128817.4264903,57.15,43,2520,10501,0,1.003678706008941
845569.868316655,1790128817.5266676,57.15,43,2520,10501,0,1.103864467004314
845569.968446515,1790128817.6267989,56.969,43,2520,10501,0,1.2039943269919604
845570.0686538154,1790128817.727012,56.969,43,2520,10501,0,1.3042016273830086
845570.168817524,1790128817.8271651,56.969,43,2520,10501,0,1.4043653359403834
845570.2689248831,1790128817.9272714,56.969,43,2520,10501,0,1.5044726950582117
845570.3690224645,1790128818.027369,56.969,43,2520,10501,0,1.6045702764531597
845570.46913751,1790128818.127489,56.953,43,2520,10501,0,1.704685322009027
845570.569278152,1790128818.2276325,56.953,43,2520,10501,0,1.8048259639181197
845570.6694293665,1790128818.3277807,56.953,43,2520,10501,0,1.90497717843391
845570.769557225,1790128818.4279087,56.953,43,2520,10501,0,2.0051050370093435
845570.86968302,1790128818.5280325,56.953,43,2520,10501,0,2.1052308320067823
845570.9698110679,1790128818.6281629,57.025,43,2520,10501,0,2.205358879873529
845571.069931431,1790128818.7282782,57.025,43,2520,10501,0,2.3054792429320514
845571.170032777,1790128818.8283794,57.025,43,2520,10501,0,2.4055805889656767
845571.2701294476,1790128818.9284759,57.025,43,2520,10501,0,2.505677259527147
845571.370244578,1790128819.0285945,57.025,43,2520,10501,0,2.6057923899497837
845571.4704198046,1790128819.1287768,57.078,43,2520,10501,0,2.7059676165226847
845571.5705886505,1790128819.2289393,57.078,43,2520,10501,0,2.8061364624882117
845571.670727599,1790128819.3290808,57.078,43,2520,10501,0,2.9062754109036177
845571.770872836,1790128819.4292228,57.078,43,2520,10501,0,3.0064206479582936
845571.8711072645,1790128819.5294635,57.078,43,2520,10501,0,3.1066550764953718
845571.9712372685,1790128819.629586,57.078,43,2520,10501,0,3.206785080488771
845572.0713446755,1790128819.729691,57.078,43,2520,10501,0,3.306892487453297
845572.1714419895,1790128819.8297882,57.078,43,2520,10501,0,3.4069898014422506
845572.2715606665,1790128819.9299128,57.078,43,2520,10501,0,3.507108478457667
845572.371709251,1790128820.0300589,57.078,43,2520,10501,0,3.6072570629185066
845572.4718350291,1790128820.1301866,56.823,43,2520,10501,0,3.7073828410357237
845572.571985665,1790128820.2303414,56.823,43,2520,10501,0,3.8075334769673645
845572.672177618,1790128820.3305297,56.823,43,2520,10501,0,3.9077254299772903
845572.77230798,1790128820.4306593,56.823,43,2520,10501,0,4.007855791947804
845572.872428148,1790128820.530779,56.823,43,2520,10501,0,4.107975960010663
845572.972540413,1790128820.630888,56.823,43,2520,10501,0,4.208088224986568
845573.072644342,1790128820.7309906,56.823,43,2520,10501,0,4.308192153926939
845573.1727411104,1790128820.8310874,56.823,43,2520,10501,0,4.4082889223936945
845573.2728518716,1790128820.9312024,56.823,43,2520,10501,0,4.508399683516473
845573.372972575,1790128821.0313244,56.823,43,2520,10501,0,4.608520386973396
845573.473133562,1790128821.1314843,56.609,43,2520,10501,0,4.708681373973377
845573.573282683,1790128821.2316377,56.609,43,2520,10501,0,4.808830494992435
845573.6736258375,1790128821.3319898,56.609,43,2520,10501,0,4.909173649502918
845573.770805289,1790128821.4291718,56.609,43,2520,10501,0,5.006353100994602
