core,variant,bits,scale,dt_rank,count,tile_calls,clipped_count,endpoint_count,raw_code_min,raw_code_max,hardware_prequant_min,hardware_prequant_max,reference_min,reference_max,abs_error_sum,squared_error_sum,reference_energy_sum,max_abs_error,ref_abs_error_sum,ref_max_abs_error,clipped_pct,endpoint_pct,local_MAE,local_RMSE,local_NRMSE,vs_QAT_reference_MAE
blk0_spa,current,9,0.0037328011821955442,2,131072,256,12,13,-179,424,-0.6679906991485041,1.583497156680096,-0.6679906845092773,1.583497166633606,124.31572724660509,1.0771772174081684,19967.526660776162,0.6316328552202322,128.7212670154404,0.6316328651737422,0.0091552734375,0.009918212890625,0.0009484537296036155,0.002866742048333085,0.007344824840804601,0.000982065330623172
blk0_spa,int8_same_scale,8,0.0037328011821955442,2,131072,256,18857,20276,-179,424,-0.6679906991485041,1.583497156680096,-0.6679906845092773,1.583497166633606,907.3849695739045,66.37784605129639,19967.526660776162,1.1094314065412618,911.1618680311367,1.1094314164947718,14.386749267578125,15.4693603515625,0.006922797924605595,0.022503839131577417,0.05765665479500996,0.0069516133730402885
blk0_spa,int8_wider_scale,8,0.007494994439184666,2,131072,256,12,13,-89,211,-0.6679906991485041,1.583497156680096,-0.6679906845092773,1.583497166633606,247.3263575741148,1.5367253113182089,19967.526660776162,0.6316328629036434,250.39807658083737,0.6316328728571534,0.0091552734375,0.009918212890625,0.0018869503599099335,0.0034240741356174804,0.00877275469645525,0.0019103857161013593
blk0_spe,current,9,0.0014769957633689046,1,262144,256,4,4,-500,246,-0.7391494978219271,0.3638449078425765,-0.7391495108604431,0.3638449013233185,96.97182664764114,0.18985640521438799,406.0981544442186,0.3610385823994875,98.33891348781422,0.36103859543800354,0.00152587890625,0.00152587890625,0.00036991816195541816,0.0008510256810653354,0.021622062525967784,0.00037513318438649835
blk0_spe,int8_same_scale,8,0.0014769957633689046,1,262144,256,234,239,-500,246,-0.7391494978219271,0.3638449078425765,-0.7391495108604431,0.3638449013233185,105.10082846623845,1.0263743612474565,406.0981544442186,0.5500940401107073,106.46791405285136,0.5500940531492233,0.089263916015625,0.0911712646484375,0.000400927842965082,0.001978713589521808,0.05027329950849986,0.0004061428606142096
blk0_spe,int8_wider_scale,8,0.00296562141738832,1,262144,256,4,4,-249,123,-0.7391494978219271,0.3638449078425765,-0.7391495108604431,0.3638449013233185,198.1769392734859,0.33787866750947754,406.0981544442186,0.3595499563962221,199.38158619481487,0.35954996943473816,0.00152587890625,0.00152587890625,0.0007559850283564984,0.0011352994446670987,0.028844623757486743,0.0007605803916733355
blk1_spa,current,9,0.0060994504019618034,2,32768,256,9,9,-299,69,-1.8231847238494083,0.42371300503145903,-1.8389575481414795,0.4344671368598938,50.97943165060133,0.2555176320747015,5441.276112954337,0.26172542094718665,656.4698526188731,0.2774982452392578,0.0274658203125,0.0274658203125,0.0015557687881653237,0.002792450411225723,0.006852673733650652,0.020033870014003696
blk1_spa,int8_same_scale,8,0.0060994504019618034,2,32768,256,1383,1447,-299,69,-1.8231847238494083,0.42371300503145903,-1.8389575481414795,0.4344671368598938,245.6075265908148,56.37560026386137,5441.276112954337,1.0424550723982975,818.3807235406712,1.0582278966903687,4.2205810546875,4.4158935546875,0.007495346880823206,0.04147826883316323,0.10178767802202605,0.02497499766664646
blk1_spa,int8_wider_scale,8,0.012246928177773952,2,32768,256,9,9,-149,35,-1.8231847238494083,0.42371300503145903,-1.8389575481414795,0.4344671368598938,100.96043040021323,0.5505879296347898,5441.276112954337,0.2555779170943424,663.0490977335721,0.2713507413864136,0.0274658203125,0.0274658203125,0.003081067822272132,0.004099098700606232,0.010059188834424481,0.020234652640795048
blk1_spe,current,9,0.004695300944149494,1,65536,256,7,7,-317,52,-1.490336689457763,0.24387327645672485,-1.500190258026123,0.24387326836585999,77.42474990495248,0.25653023173597894,7731.255118517096,0.2883396477554925,891.3890796841205,0.29819321632385254,0.01068115234375,0.01068115234375,0.0011814079270164868,0.001978469280583741,0.005760289019727541,0.013601517939515998
blk1_spe,int8_same_scale,8,0.004695300944149494,1,65536,256,2060,2139,-317,52,-1.490336689457763,0.24387327645672485,-1.500190258026123,0.24387326836585999,256.90096465387614,31.433969212765795,7731.255118517096,0.8893381686066277,1034.4479142117398,0.8991917371749878,3.143310546875,3.26385498046875,0.003919997629606264,0.02190078321920731,0.06376386145546392,0.015784422519100033
blk1_spe,int8_wider_scale,8,0.009427572600543499,1,65536,256,7,7,-158,26,-1.490336689457763,0.24387327645672485,-1.500190258026123,0.24387326836585999,155.36278201529058,0.616532373686233,7731.255118517096,0.2836073965881951,915.091598979392,0.2934609651565552,0.01068115234375,0.01068115234375,0.0023706479189344876,0.003067170918009079,0.008930030470537562,0.013963189681692382
blk2_spa,current,9,0.011160545982420444,2,8192,256,0,0,-202,231,-2.259945461526513,2.5739697739481926,-2.207179069519043,2.5263512134552,22.795570401474833,0.0847714208518376,5212.31013197533,0.005593627225607634,518.3452462339774,0.350801101885736,0.0,0.0,0.0027826624025237834,0.003216842214727485,0.004032827139270729,0.06327456619067107
blk2_spa,int8_same_scale,8,0.011160545982420444,2,8192,256,366,380,-202,231,-2.259945461526513,2.5739697739481926,-2.207179069519043,2.5263512134552,105.19413525331765,33.19815655280262,5212.31013197533,1.1565804341807961,569.9472289923579,1.1089618736878037,4.4677734375,4.638671875,0.012841080963539753,0.06365932252879022,0.07980716069514847,0.06957363635160618
